สถานะของแคมเปญ,period,year,แคมเปญ,ชื่องบประมาณ,รหัสสกุลเงิน,งบประมาณ,ประเภทงบประมาณ,สถานะ,เหตุผลของสถานะ,ประเภทแคมเปญ,ค่าใช้จ่าย,การแสดงผล,การโต้ตอบ,จำนวนการดู,เพิ่มในรถเข็น,ซื้อ,มูลค่า Conv.,ประเภทกลยุทธ์การเสนอราคา
หยุดชั่วคราว,2,2022,HTR Discovery - CNY 2021, --,THB,100,รายวัน,หยุดชั่วคราว,แคมเปญหยุดชั่วคราว; แคมเปญสิ้นสุดแล้ว,Discovery,0,0,0,0, --, --,0,เพิ่มจำนวน Conversion สูงสุด
หยุดชั่วคราว,3,2022,HTR Search - CNY 2021 Dynamic, --,THB,500,รายวัน,หยุดชั่วคราว,แคมเปญหยุดชั่วคราว; แคมเปญสิ้นสุดแล้ว,การค้นหา,0,0,0,0, --, --,0,เพิ่มจำนวน Conversion สูงสุด
หยุดชั่วคราว,5,2022,Hong Thong Rice - Competitors, --,THB,210,รายวัน,หยุดชั่วคราว,แคมเปญหยุดชั่วคราว; แคมเปญสิ้นสุดแล้ว,การค้นหา,0,0,0,0, --, --,0,CPC (ปรับปรุงแล้ว)
เปิดใช้อยู่,4,2022,HTR Call - CNY 2021, --,THB,500,รายวัน,สิ้นสุด,แคมเปญสิ้นสุดแล้ว,การค้นหา,0,0,0,0, --, --,0,ส่วนแบ่งการแสดงผลเป้าหมาย
เปิดใช้อยู่,6,2022,HTR YouTube Bumper - CNY 2021, --,THB,2000,แคมเปญทั้งหมด,สิ้นสุด,แคมเปญสิ้นสุดแล้ว,วิดีโอ,0,0,0,0, --, --,0,CPM เป้าหมาย
เปิดใช้อยู่,3,2022,Hong Thong Rice - Discovery GDN2, --,THB,310,รายวัน,สิ้นสุด,แคมเปญสิ้นสุดแล้ว,Discovery,0,0,0,0, --, --,0,เพิ่มจำนวน Conversion สูงสุด
หยุดชั่วคราว,2,2022,PMAX - Hong Thong Rice, --,THB,1000,รายวัน,หยุดชั่วคราว,แคมเปญหยุดชั่วคราว,ประสิทธิภาพสูงสุด,78594.42,1494872,71815,25060,20.00,444.00,444790,เพิ่มมูลค่า Conversion สูงสุด (ROAS เป้าหมาย)
หยุดชั่วคราว,6,2022,Hong Thong Rice - Brand Specific, --,THB,500,รายวัน,หยุดชั่วคราว,แคมเปญหยุดชั่วคราว,การค้นหา,18854.61,19500,1911,0,25.00,191.00,189387,เพิ่มจำนวน Conversion สูงสุด
หยุดชั่วคราว,2,2022,HTR Search - CNY 2021 - GENERIC, --,THB,1000,รายวัน,หยุดชั่วคราว,แคมเปญหยุดชั่วคราว; แคมเปญสิ้นสุดแล้ว,การค้นหา,0,0,0,0, --, --,0,เพิ่มจำนวน Conversion สูงสุด
หยุดชั่วคราว,4,2022,HTR GDN - CNY 2021, --,THB,100,รายวัน,หยุดชั่วคราว,แคมเปญหยุดชั่วคราว; แคมเปญสิ้นสุดแล้ว,ดิสเพลย์,0,0,0,0, --, --,0,เพิ่มจำนวน Conversion สูงสุด
หยุดชั่วคราว,6,2022,Hong Thong Rice - GDN1, --,THB,310,รายวัน,หยุดชั่วคราว,แคมเปญหยุดชั่วคราว; แคมเปญสิ้นสุดแล้ว,ดิสเพลย์,0,0,0,0, --, --,0,เพิ่มจำนวนคลิกสูงสุด
หยุดชั่วคราว,2,2022,HT Rewards Display, --,THB,200,รายวัน,หยุดชั่วคราว,แคมเปญหยุดชั่วคราว; แคมเปญสิ้นสุดแล้ว,ดิสเพลย์,0,0,0,0, --, --,0,CPA เป้าหมาย
เปิดใช้อยู่,5,2022,HT Rewards - Skippable Teaser (CPV), --,THB,15000,แคมเปญทั้งหมด,สิ้นสุด,แคมเปญสิ้นสุดแล้ว,วิดีโอ,0,0,0,0, --, --,0,CPV ที่กำหนดเอง
เปิดใช้อยู่,4,2022,HTR Skippable - CNY 2022 (CPV), --,THB,20000,แคมเปญทั้งหมด,สิ้นสุด,แคมเปญสิ้นสุดแล้ว,วิดีโอ,19985.08,259018,159944,142237,0.00,0.00,0,CPV ที่กำหนดเอง
เปิดใช้อยู่,2,2022,HTR ข้าวนาหยอด Limited PR, --,THB,15000,แคมเปญทั้งหมด,สิ้นสุด,แคมเปญสิ้นสุดแล้ว,วิดีโอ,0,0,0,0,0.00,0.00,0,CPV ที่กำหนดเอง
หยุดชั่วคราว,2,2022,PMAX, --,THB,1000,รายวัน,หยุดชั่วคราว,แคมเปญหยุดชั่วคราว,ประสิทธิภาพสูงสุด,0,0,0,0, --, --,0,เพิ่มมูลค่า Conversion สูงสุด
หยุดชั่วคราว,2,2022,Test, --,THB,33,รายวัน,หยุดชั่วคราว,แคมเปญหยุดชั่วคราว,Smart,0,0,0,0, --, --,0,เพิ่มจำนวนคลิกสูงสุด
หยุดชั่วคราว,6,2022,Hong Thong Rice - Discovery GDN1, --,THB,250,รายวัน,หยุดชั่วคราว,แคมเปญหยุดชั่วคราว; แคมเปญสิ้นสุดแล้ว,Discovery,0,0,0,0, --, --,0,เพิ่มจำนวน Conversion สูงสุด
หยุดชั่วคราว,2,2022,HTR Search - CNY 2021 - BRAND, --,THB,1000,รายวัน,หยุดชั่วคราว,แคมเปญหยุดชั่วคราว; แคมเปญสิ้นสุดแล้ว,การค้นหา,0,0,0,0, --, --,0,เพิ่มจำนวน Conversion สูงสุด
หยุดชั่วคราว,1,2022,Hong Thong Rice - GDN2, --,THB,250,รายวัน,หยุดชั่วคราว,แคมเปญหยุดชั่วคราว; แคมเปญสิ้นสุดแล้ว,ดิสเพลย์,0,0,0,0, --, --,0,เพิ่มจำนวนคลิกสูงสุด
ทั้งหมด: แคมเปญ,,,,,THB,,,,,,117434.12,1773390,233670,167297,45.00,635.00,634177,
ทั้งหมด: บัญชี,,,,,THB,,,,,,117434.12,1773390,233670,167297,45.00,635.00,634177,
ทั้งหมด: Discovery,,,,,THB,,,,,Discovery,0,0,0,0, --, --,0,
ทั้งหมด: Smart,,,,,THB,,,,,Smart,0,0,0,0, --, --,0,
ทั้งหมด: การค้นหา,,,,,THB,,,,,การค้นหา,18854.61,19500,1911,0,25.00,191.00,189387,
ทั้งหมด: ดิสเพลย์,,,,,THB,,,,,ดิสเพลย์,0,0,0,0, --, --,0,
ทั้งหมด: วิดีโอ,,,,,THB,,,,,วิดีโอ,19985.08,259018,159944,142237,0.00,0.00,0,
ทั้งหมด: ประสิทธิภาพสูงสุด,,,,,THB,,,,,ประสิทธิภาพสูงสุด,78594.42,1494872,71815,25060,20.00,444.00,444790,
